callsign,actype,adep,ades,eobt,rfl,dep_rwy,arr_rwy,sid,star,approach,route
TOM104,A320,EGCC,VTSP,2025-12-22T12:30:00Z,70,,RW09,,UBNE1C,,SAPAM L645 UBNEN
AFR196,A359,LFPG,VTBS,2025-12-22T13:40:00Z,370,,RW01,,WILA1D,R01,BETNO P646 TARED
CFG2368,A339,EDDF,VTSP,2025-12-22T13:55:00Z,390,,RW09,,SATV1C,,TAVUN L759 SATVA
ITY758,A320,LIRF,VTBS,2025-12-22T14:10:00Z,410,,RW01,,WILA1D,R01,BETNO G463 TARED
AFR156,A359,LFPG,VTSP,2025-12-22T14:40:00Z,350,,RW09,,SATV1C,,TAVUN L759 SATVA
AFR198,A359,LFPG,VTBS,2025-12-22T15:20:00Z,410,,RW01,,WILA1D,R01,BETNO P646 TARED
KLM843,B789,EHAM,VTBS,2025-12-22T16:00:00Z,330,,RW01,,WILA1D,R01,BETNO P646 TARED
AFL270,A333,UUEE,VTBS,2025-12-22T16:15:00Z,370,,RW01,,WILA1D,R01,LUDVI L507 IGONI
AFL278,A333,UUEE,VTSP,2025-12-22T16:25:00Z,370,,RW09,,SATV1C,,TAVUN L759 SATVA
ELY085,B772,LLBG,VTBS,2025-12-22T16:40:00Z,390,,RW01,,WILA1D,R01,PUMOR L877 MIGAR L524 IBETO
KZR163,A21N,UACC,VTSP,2025-12-22T16:40:00Z,90,,RW09,,UPSA1C,,IKULA L515 UPSAB
THY64,A333,LTFM,VTBS,2025-12-22T16:45:00Z,390,,RW01,,WILA1D,R01,LUDVI L507 IGONI
SAS973,A320,EKCH,VTBS,2025-12-22T17:00:00Z,410,,RW01,,WILA1D,R01,BETNO P646 TARED
SWR180,B77W,LSZH,VTBS,2025-12-22T17:00:00Z,370,,RW01,,WILA1D,R01,BETNO P646 TARED
AFL284,B77W,UUEE,VTSP,2025-12-22T17:40:00Z,370,,RW09,,SATV1C,,TAVUN L759 SATVA
AFL634,A333,UNKL,VTSP,2025-12-22T17:50:00Z,360,,RW09,,EMRI1C,,PONUK A581 CTR W22 IKISU Y27 BKK Y99 EMRIT
AZV2801,A320,UUWW,VTBU,2025-12-22T18:05:00Z,370,,RW18,,,R18,TUPGO M633 DULEM W42 RYN
LOT6519,A320,EPWA,VTBS,2025-12-22T18:05:00Z,390,,RW01,,WILA1D,R01,LUDVI L507 IGONI
AFL272,A333,UUEE,VTBS,2025-12-22T18:35:00Z,330,,RW01,,WILA1D,R01,LUDVI L507 IGONI
UAE374,B77W,OMDB,VTBS,2025-12-22T18:35:00Z,410,,RW01,,WILA1D,R01,NURDA L524 IBETO
ABY756,A21N,OMSJ,VTSG,2025-12-22T18:45:00Z,370,,RW32,,EMRI1E,R32,IKULA R325 PUT Y99 EMRIT
ABY687,A21N,OMSJ,VTSP,2025-12-22T18:50:00Z,350,,RW09,,UBNE1C,,SAPAM L645 UBNEN
FIN143,A359,EFHK,VTBS,2025-12-22T18:55:00Z,410,,RW01,,WILA1D,R01,BETNO P646 TARED
AUA5,B772,LOWW,VTBS,2025-12-22T19:15:00Z,370,,RW01,,WILA1D,R01,BETNO G463 TARED
CFG2362,A339,EDDF,VTBS,2025-12-22T19:15:00Z,390,,RW01,,WILA1D,R01,BETNO P646 TARED
TAX865,A333,UAAA,VTBD,2025-12-22T19:20:00Z,410,,RW21R,,WEHA3A,R21R,BETNO P646 TARED
NWS3433,A320,USSS,VTSP,2025-12-22T19:25:00Z,390,,RW09,,SATV1C,,TAVUN L759 SATVA
KZR563,A21N,UAAA,VTSP,2025-12-22T19:30:00Z,370,,RW09,,SATV1C,,TAVUN L759 SATVA
ELY087,B789,LLBG,VTSP,2025-12-22T19:40:00Z,370,,RW09,,UPSA1C,,IKULA L515 UPSAB
GFA152,B789,OBBI,VTBS,2025-12-22T19:45:00Z,390,,RW01,,WILA1D,R01,BETNO P646 TARED
KZR931,A21N,UAAA,VTBS,2025-12-22T19:45:00Z,330,,RW01,,WILA1D,R01,BETNO G463 TARED
ELY083,B772,LLBG,VTBS,2025-12-22T19:50:00Z,390,,RW01,,WILA1D,R01,PUMOR L877 MIGAR L524 IBETO
NBT095,A320,ENGM,VTSP,2025-12-22T19:50:00Z,410,,RW09,,SATV1C,,TAVUN L759 SATVA
THA923,B77W,EDDF,VTBS,2025-12-22T19:55:00Z,370,,RW01,,WILA1D,R01,BETNO P646 TARED
AFL626,A333,USSS,VTSP,2025-12-22T20:00:00Z,370,,RW09,,SATV1C,,TAVUN L759 SATVA
THA350,A320,OPIS,VTBS,2025-12-22T20:00:00Z,120,,RW01,,WILA1D,R01,PUMOR L877 MIGAR L524 IBETO
MFX525,A21N,UZTT,VTBS,2025-12-22T20:24:00Z,350,,RW01,,WILA1D,R01,LUDVI L507 IGONI
AIC2336,A20N,VIDP,VTBS,2025-12-22T20:30:00Z,170,,RW01,,WILA1D,R01,BETNO P646 TARED
ELY081,B772,LLBG,VTBS,2025-12-22T20:30:00Z,390,,RW01,,WILA1D,R01,PUMOR L877 MIGAR L524 IBETO
AFL276,A333,UUEE,VTSP,2025-12-22T20:35:00Z,370,,RW09,,SATV1C,,TAVUN L759 SATVA
ETH628,B77L,HAAB,VTBS,2025-12-22T20:55:00Z,410,,RW01,,WILA1D,R01,PUMOR L877 MIGAR L524 IBETO
SBI6307,B738,UIII,VTBS,2025-12-22T21:05:00Z,380,,RW01,,NORT1D,R01,YAKUA B346 NOBER
ABY699,A21N,OMSJ,VTSP,2025-12-22T21:10:00Z,370,,RW09,,UBNE1C,,SAPAM L645 UBNEN
THA352,A320,VABB,VTBS,2025-12-22T21:10:00Z,370,,RW01,,WILA1D,R01,BETNO P646 TARED
ABY823,A21N,OMSJ,VTBS,2025-12-22T21:15:00Z,370,,RW01,,WILA1D,R01,BETNO G463 TARED
BAW2231,B77W,EGKK,VTBS,2025-12-22T21:15:00Z,390,,RW01,,WILA1D,R01,BETNO G463 TARED
DLH772,A359,EDDM,VTBS,2025-12-22T21:20:00Z,410,,RW01,,WILA1D,R01,BETNO P646 TARED
EVA068,B77W,EGLL,VTBS,2025-12-22T21:20:00Z,370,,RW01,,WILA1D,R01,BETNO P646 TARED
KAR3519,B772,UNKL,VTSP,2025-12-22T21:25:00Z,380,,RW09,,EMRI1C,,PONUK A581 CTR W22 IKISU Y27 BKK Y99 EMRIT
THA917,B77W,EGLL,VTBS,2025-12-22T21:35:00Z,390,,RW01,,WILA1D,R01,BETNO P646 TARED
FDB1463,B38M,OMDB,VTSG,2025-12-22T21:40:00Z,370,,RW32,,EMRI1E,R32,IKULA R325 PUT Y99 EMRIT
CQH8771,A20N,ZGGG,VTSP,2025-12-22T21:55:00Z,340,,RW09,,SAVS1C,,SAV A202 RAMEI W42 MENEX Y8 SAVSA
THA332,A320,VIDP,VTBS,2025-12-22T22:00:00Z,410,,RW01,,WILA1D,R01,BETNO P646 TARED
AFL658,A333,UIII,VTBS,2025-12-22T22:10:00Z,360,,RW01,,NORT1D,R01,YAKUA B346 NOBER
IGO1055,A21N,VOBL,VTBS,2025-12-22T22:15:00Z,330,,RW01,,WILA1D,R01,PUMOR L877 MIGAR L524 IBETO
VKG2572,A320,ESGG,VTSP,2025-12-22T22:15:00Z,390,,RW09,,SATV1C,,TAVUN L759 SATVA
VSV5235,B38M,UAAA,VTSP,2025-12-22T22:15:00Z,330,,RW09,,SATV1C,,TAVUN L759 SATVA
ETD404,B77W,OMAA,VTBS,2025-12-22T22:20:00Z,350,,RW01,,WILA1D,R01,NURDA L524 IBETO
ETD416,A21N,OMAA,VTSP,2025-12-22T22:20:00Z,310,,RW09,,UBNE1C,,SAPAM L645 UBNEN
KQA886,B788,HKJK,VTBS,2025-12-22T22:20:00Z,410,,RW01,,WILA1D,R01,TANEK L301 PASTO
NBT091,A320,ENGM,VTBS,2025-12-22T22:20:00Z,370,,RW01,,WILA1D,R01,BETNO P646 TARED
AUA7,B772,LOWW,VTBS,2025-12-22T22:25:00Z,390,,RW01,,WILA1D,R01,BETNO G463 TARED
IGO1051,A21N,VABB,VTBS,2025-12-22T22:25:00Z,350,,RW01,,WILA1D,R01,BETNO P646 TARED
CQH8933,A20N,ZGGG,VTCC,2025-12-22T22:30:00Z,340,,RW36,,MONL2A,R36,TOMIP R215 NAN R207 MONLO
IGO1085,A21N,VABB,VTSG,2025-12-22T22:30:00Z,370,,RW32,,EMRI1E,R32,IKULA R325 PUT Y99 EMRIT
AXM890,A320,WMKK,VTBD,2025-12-22T22:35:00Z,360,,RW21R,,SABA3A,R21R,RIGTO M769 GOKEX Y96 EMTIX Y99 HOTEL
LOL500,A320,OBBI,VTBS,2025-12-22T22:35:00Z,350,,RW01,,WILA1D,R01,BETNO P646 TARED
IGO1071,A21N,VABB,VTSP,2025-12-22T22:40:00Z,310,,RW09,,UPSA1C,,IKULA L515 UPSAB
MAS797,B738,VTBS,WMKK,2025-12-22T22:40:00Z,390,RW02R,,KASN1H,,,KASNI M757 KARMI
QTR834,A388,OTHH,VTBS,2025-12-22T22:40:00Z,410,,RW01,,WILA1D,R01,NURDA L524 IBETO
TGW608,A320,WSSS,VTBS,2025-12-22T22:40:00Z,340,,RW01,,TUMG1D,R01,ABTOK M644 ALUMO Y12 ALEMI
