callsign,actype,adep,ades,eobt,rfl,gs,dep_rwy,route
THA100,B738,VTCC,VTBS,2026-01-03T02:00:00Z,350,450,,PANTA Y7 BLAFF DCT NORTA
THA200,B738,VTCC,VTSP,2026-01-03T02:00:00Z,350,450,,PANTA Y7 BKK Y8 SAVSA
UAE300,B77W,VTBS,VTCC,2026-01-03T02:20:00Z,360,460,RW19,OLVUK Y26 MARNI
AIQ301,A320,VTBS,VTCP,2026-01-03T02:21:00Z,320,450,RW19,UGUVO Y27 POLOB Y34 IDKOR
TGW400,A320,VTBS,VTCL,2026-01-03T02:40:00Z,260,450,RW19,OLVUK Y26 BEBUV Y33 IBIRI
THA401,A320,VTBS,VTCN,2026-01-03T02:42:00Z,360,450,RW19,UGUVO Y27 IBUBU W25 NAN
SIA500,B789,VTBS,VTPO,2026-01-03T03:00:00Z,350,500,RW19,OLVUK Y26 ELDAL Y32 KIMET
JAL501,B789,VTBS,VTPP,2026-01-03T03:01:00Z,350,450,RW19,UGUVO Y27 PIBAN
KAL600,B738,VTBS,VTUD,2026-01-03T03:20:00Z,350,450,RW19,SELKA Y14 KRT Y23 KKN Y23/Y22
BAW601,B738,VTBS,VTSP,2026-01-03T03:21:00Z,350,450,RW19,VANKO Y8 SAVSA
QTR700,B738,VTBS,VTSB,2026-01-03T03:40:00Z,350,450,RW19,VANKO Y8 IKERA
MAS701,B738,VTBS,VTSG,2026-01-03T03:40:00Z,350,450,RW01,VANKO Y8 SAPUD W32 NULMA
SVA900,B738,VTBS,VTUD,2026-01-03T04:20:00Z,350,450,RW19,SELKA Y14 KRT Y23 KKN Y23/Y22
EVA901,B738,VTBS,VTSP,2026-01-03T04:20:00Z,350,450,RW01,VANKO Y8 SAVSA
ANA800,B738,VTCC,VTBD,2026-01-03T04:00:00Z,320,450,,PANTA Y7 BLAFF DCT NAKON
CPA801,B738,VTCC,VTSF,2026-01-03T04:05:00Z,320,450,,PANTA Y7 BKK M757 LOSDA Y94 NKS
