================================================================
FLIGHT 1 of 100  -  THA100_20260611T0000Z
================================================================

ROUTE: OLVUK Y26 MARNI
DEP: VTBD
DEST: VTCC
ACTYPE: B738
FL: F340
ATD: 2026-06-11 00:00:00

---

Timestamp,UTC,Callsign,Lat,Lon,Altitude,Speed,Direction
1781136000,2026-06-11T00:00:00Z,THA100,13.914372,100.605692,9,280,333
1781136360,2026-06-11T00:06:00Z,THA100,14.217336,100.444886,11339,280,333
1781136720,2026-06-11T00:12:00Z,THA100,14.520300,100.284081,22670,280,333
1781137080,2026-06-11T00:18:00Z,THA100,14.835557,100.151990,34000,460,342
1781137440,2026-06-11T00:24:00Z,THA100,15.160906,100.043391,34000,460,342
1781137800,2026-06-11T00:30:00Z,THA100,15.486110,99.934360,34000,460,342
1781138160,2026-06-11T00:36:00Z,THA100,15.811315,99.825330,34000,460,342
1781138520,2026-06-11T00:42:00Z,THA100,16.136519,99.716299,34000,460,342
1781138880,2026-06-11T00:48:00Z,THA100,16.461636,99.607008,34000,460,342
1781139240,2026-06-11T00:54:00Z,THA100,16.786525,99.497043,34000,460,342
1781139600,2026-06-11T01:00:00Z,THA100,17.111270,99.386651,34000,460,342
1781139960,2026-06-11T01:06:00Z,THA100,17.436015,99.276259,34000,460,342
1781140320,2026-06-11T01:12:00Z,THA100,17.768238,99.191209,34000,460,347
1781140680,2026-06-11T01:18:00Z,THA100,18.100889,99.107611,23012,270,347
1781141040,2026-06-11T01:24:00Z,THA100,18.435962,99.034432,12025,270,349
1781141400,2026-06-11T01:30:00Z,THA100,18.771389,98.962778,1037,270,0


================================================================
FLIGHT 2 of 100  -  AIQ101_20260611T0003Z
================================================================

ROUTE: SEMBO A464 TOPAS DCT LPN
DEP: VTBD
DEST: VTCL
ACTYPE: A320
FL: F220
ATD: 2026-06-11 00:03:00

---

Timestamp,UTC,Callsign,Lat,Lon,Altitude,Speed,Direction
1781136180,2026-06-11T00:03:00Z,AIQ101,13.914372,100.605692,9,280,341
1781136540,2026-06-11T00:09:00Z,AIQ101,14.202368,100.505628,7339,280,341
1781136900,2026-06-11T00:15:00Z,AIQ101,14.490364,100.405564,14670,280,341
1781137260,2026-06-11T00:21:00Z,AIQ101,14.778361,100.305500,22000,460,341
1781137620,2026-06-11T00:27:00Z,AIQ101,15.067018,100.207376,22000,460,342
1781137980,2026-06-11T00:33:00Z,AIQ101,15.356158,100.110665,22000,460,342
1781138340,2026-06-11T00:39:00Z,AIQ101,15.645297,100.013954,22000,460,342
1781138700,2026-06-11T00:45:00Z,AIQ101,15.934437,99.917243,22000,460,342
1781139060,2026-06-11T00:51:00Z,AIQ101,16.223576,99.820532,22000,460,342
1781139420,2026-06-11T00:57:00Z,AIQ101,16.512790,99.724042,22000,460,342
1781139780,2026-06-11T01:03:00Z,AIQ101,16.802064,99.627736,22000,460,342
1781140140,2026-06-11T01:09:00Z,AIQ101,17.091338,99.531429,22000,460,342
1781140500,2026-06-11T01:15:00Z,AIQ101,17.380613,99.435122,22000,460,342
1781140860,2026-06-11T01:21:00Z,AIQ101,17.678106,99.424240,14938,270,7
1781141220,2026-06-11T01:27:00Z,AIQ101,17.980435,99.463628,7877,270,7
1781141580,2026-06-11T01:33:00Z,AIQ101,18.270833,99.504167,815,270,0


================================================================
FLIGHT 3 of 100  -  TGW102_20260611T0006Z
================================================================

ROUTE: UGUVO Y27 POLOB Y34 IDKOR
DEP: VTBD
DEST: VTCP
ACTYPE: A321
FL: F380
ATD: 2026-06-11 00:06:00

---

Timestamp,UTC,Callsign,Lat,Lon,Altitude,Speed,Direction
1781136360,2026-06-11T00:06:00Z,TGW102,13.914372,100.605692,9,280,342
1781136720,2026-06-11T00:12:00Z,TGW102,14.190489,100.513336,12673,280,342
1781137080,2026-06-11T00:18:00Z,TGW102,14.466606,100.420981,25336,280,342
1781137440,2026-06-11T00:24:00Z,TGW102,14.742723,100.328625,38000,460,342
1781137800,2026-06-11T00:30:00Z,TGW102,15.018840,100.236270,38000,460,342
1781138160,2026-06-11T00:36:00Z,TGW102,15.294973,100.143964,38000,460,342
1781138520,2026-06-11T00:42:00Z,TGW102,15.571120,100.051698,38000,460,342
1781138880,2026-06-11T00:48:00Z,TGW102,15.847267,99.959432,38000,460,342
1781139240,2026-06-11T00:54:00Z,TGW102,16.131342,99.932336,38000,460,4
1781139600,2026-06-11T01:00:00Z,TGW102,16.421201,99.959198,38000,460,7
1781139960,2026-06-11T01:06:00Z,TGW102,16.710158,99.994895,38000,460,7
1781140320,2026-06-11T01:12:00Z,TGW102,16.999114,100.030593,38000,460,7
1781140680,2026-06-11T01:18:00Z,TGW102,17.284285,100.081856,38000,460,19
1781141040,2026-06-11T01:24:00Z,TGW102,17.557369,100.182829,25333,270,19
