callsign,actype,adep,ades,eobt,rfl,gs,dep_rwy,arr_rwy,sid,star,approach,route
AFR182,A359,LFPG,WSSS,2025-12-22 13:30,390,480,,,,,,TAVUN L759 PUT B579 DALAN
AFR196,A359,LFPG,VTBS,2025-12-22 13:40,370,485,,RW01,,WILA1D,R01,BETNO P646 TARED
SIA21,A359,KEWR,WSSS,2025-12-22 14:35,410,465,,,,,,EKAVO M626 IKOGA Y24 PASVA
AFR198,A359,LFPG,VTBS,2025-12-22 15:20,410,505,,RW01,,WILA1D,R01,BETNO P646 TARED
KLM843,B789,EHAM,VTBS,2025-12-22 16:00,330,495,,RW01,,WILA1D,R01,BETNO P646 TARED
AFL278,A333,UUEE,VTSP,2025-12-22 16:25,370,480,,RW09,,SATV1C,,TAVUN L759 SATVA
TVR4725,A320,FAOR,VHHH,2025-12-22 16:30,410,490,,,,,,RUSET P627 PUT Y8 SAPUD W32 SMU R575 SAKDA
ELY085,B772,LLBG,VTBS,2025-12-22 16:40,390,480,,RW01,,WILA1D,R01,PUMOR L877 MIGAR L524 IBETO
THY64,A333,LTFM,VTBS,2025-12-22 16:45,390,490,,RW01,,WILA1D,R01,LUDVI L507 IGONI
AFL294,A359,UUEE,VVCR,2025-12-22 16:55,390,495,,,,,,LUDVI L507 BKK N506 BOKAK
SAS973,A320,EKCH,VTBS,2025-12-22 17:00,410,485,,RW01,,WILA1D,R01,BETNO P646 TARED
SWR180,B77W,LSZH,VTBS,2025-12-22 17:00,370,490,,RW01,,WILA1D,R01,BETNO P646 TARED
AFL284,B77W,UUEE,VTSP,2025-12-22 17:40,370,480,,RW09,,SATV1C,,TAVUN L759 SATVA
AFL634,A333,UNKL,VTSP,2025-12-22 17:50,360,480,,RW09,,EMRI1C,,PONUK A581 CTR W22 IKISU Y27 BKK Y99 EMRIT
UAE374,B77W,OMDB,VTBS,2025-12-22 18:35,410,505,,RW01,,WILA1D,R01,NURDA L524 IBETO
BAW11,B77W,EGLL,WSSS,2025-12-22 18:40,330,480,,,,,,EKAVO M626 IKOGA Y24 PASVA
ABY687,A21N,OMSJ,VTSP,2025-12-22 18:50,350,455,,RW09,,UBNE1C,,SAPAM L645 UBNEN
FIN143,A359,EFHK,VTBS,2025-12-22 18:55,410,505,,RW01,,WILA1D,R01,BETNO P646 TARED
AUA5,B772,LOWW,VTBS,2025-12-22 19:15,370,490,,RW01,,WILA1D,R01,BETNO G463 TARED
CFG2362,A339,EDDF,VTBS,2025-12-22 19:15,390,490,,RW01,,WILA1D,R01,BETNO P646 TARED
AIC302,A20N,VIDP,YSSY,2025-12-22 19:25,370,480,,,,,,TAVUN L759 PUT W14 HTY A334 PASVA
KLM809,B77W,EHAM,WMKK,2025-12-22 19:25,370,490,,,,,,TAVUN L759 PUT R325 DUBAX
NWS3433,A320,USSS,VTSP,2025-12-22 19:25,390,460,,RW09,,SATV1C,,TAVUN L759 SATVA
KZR563,A21N,UAAA,VTSP,2025-12-22 19:30,370,445,,RW09,,SATV1C,,TAVUN L759 SATVA
ELY087,B789,LLBG,VTSP,2025-12-22 19:40,370,480,,RW09,,UPSA1C,,IKULA L515 UPSAB
AFR256,B77W,LFPG,WSSS,2025-12-22 19:45,330,495,,,,,,TAVUN L759 PUT B579 DALAN
GFA152,B789,OBBI,VTBS,2025-12-22 19:45,390,495,,RW01,,WILA1D,R01,BETNO P646 TARED
KZR931,A21N,UAAA,VTBS,2025-12-22 19:45,330,440,,RW01,,WILA1D,R01,BETNO G463 TARED
ELY083,B772,LLBG,VTBS,2025-12-22 19:50,390,500,,RW01,,WILA1D,R01,PUMOR L877 MIGAR L524 IBETO
AIC308,B77W,VIDP,YMML,2025-12-22 19:55,370,480,,,,,,TAVUN L759 PUT B579 DALAN
THA923,B77W,EDDF,VTBS,2025-12-22 19:55,370,500,,RW01,,WILA1D,R01,BETNO P646 TARED
KLM835,B77W,EHAM,WSSS,2025-12-22 19:59,350,490,,,,,,EKAVO M626 IKOGA Y24 PASVA
