callsign,actype,adep,ades,eobt,rfl,dep_rwy,arr_rwy,sid,star,approach,route
BKP211,AT76,VTBS,VTPO,2026-07-08T23:52:00Z,160,RW20L,RW18,OLVU1E,,R18,OLVUK Y26 ELDAL Y32 KIMET
KMI262,B763,VTCC,OMAA,2026-07-08T23:59:00Z,320,RW36,,LAMU2S,,,LAMUN R207 SISUK
TLM782,B738,VTBD,VTSF,2026-07-09T00:01:00Z,310,RW21L,RW19,KASN1B,,R19,KASNI M757 LOSDA Y94 NKS
CBY05,AT76,VTBD,VTBP,2026-07-09T00:02:00Z,140,RW21L,,UKER1B,,,MOTNA G458 UKERA
RTN2113,E135,VTBU,VTSB,2026-07-09T00:02:00Z,240,RW18,RW22,BKK1A,IKER1B,R22,ASEKU W42 MENEX Y8 IKERA
AIQ3522,A320,VTBD,VTUO,2026-07-09T00:05:00Z,250,RW21L,RW22,ROBK3A,,R22,ROBKA A1 TOPER W42 RAMEI W38
TVJ340,A321,VTBS,VTSG,2026-07-09T00:09:00Z,340,RW20L,RW32,VANK1E,NULM1E,R32,VANKO Y8 SAPUD W32 NULMA
AIQ3235,A21N,VTBD,VTSB,2026-07-09T00:11:00Z,340,RW21L,RW22,SABI2B,IKER1B,R22,SABIS Y8 IKERA
THA040,A320,VTBS,VTUK,2026-07-09T00:11:00Z,250,RW20L,RW03,SELK1F,,R03,SELKA Y14 KRT Y23 KKN Y23/Y22
THA002,A21N,VTBS,VTUD,2026-07-09T00:12:00Z,270,RW20L,RW30,SELK1F,ANPU1A,R30,SELKA Y14 KRT Y23 KKN Y23/Y22
THA426,A320,WMKP,VTBS,2026-07-09T00:14:16Z,340,,RW19,,LEBI1C,R19,RIGTO M769 LEBIM
AIQ3250,A320,VTBD,VTUK,2026-07-09T00:15:00Z,270,RW21L,RW03,ROBK3A,,R03,ROBKA A1 SELKA Y14 KRT Y23 KKN Y23/Y22
THA020,A320,VTBS,VTUU,2026-07-09T00:17:00Z,270,RW20L,RW23,SELK1F,VENP1C,R23,SELKA A1
AIQ3308,A320,VTBD,VTPP,2026-07-09T00:17:00Z,220,RW21L,RW32,UGUV1B,,R32,UGUVO Y27 PIBAN
NOK360,B738,VTBD,VTUI,2026-07-09T00:18:00Z,350,RW21L,RW05,ROBK3A,,R05,ROBKA A1 SELKA Y14 KRT Y23 KKN Y23/Y22
BKP107,A319,VTBS,VTSM,2026-07-09T00:19:00Z,310,RW20L,RW17,KASN1E,,R17,KASNI M757 MABKO W33 SMU
AIQ251,A320,VTBD,VYYY,2026-07-09T00:20:00Z,380,RW21L,,TARE1B,,,TARED P646 BETNO
BKP261,A319,VTBS,VTSG,2026-07-09T00:21:00Z,340,RW20L,RW32,VANK1E,NULM1E,R32,VANKO Y8 SAPUD W32 NULMA
TLM670,B738,VTBD,VTUW,2026-07-09T00:22:00Z,330,RW21L,RW15,ROBK3A,,R15,ROBKA A1 SELKA Y14 KRT Y23 KKN Y23/Y22
AIQ3554,A20N,VTBD,VTCN,2026-07-09T00:23:00Z,340,RW21L,RW02,UGUV1B,,R02,UGUVO Y27 IBUBU W25 NAN
TLM734,B738,VTBD,VTSB,2026-07-09T00:25:00Z,320,RW21L,RW22,SABI2B,IKER1B,R22,SABIS Y8 IKERA
TVJ320,B38M,VTBS,VTSS,2026-07-09T00:25:00Z,330,RW20L,RW26,KASN1E,OBLE1B,R26,KASNI M757 OBLEX
BKP121,A319,VTBS,VTSM,2026-07-09T00:26:00Z,310,RW20L,RW17,KASN1E,,R17,KASNI M757 MABKO W33 SMU
BKP408,AT76,VTSP,VTSM,2026-07-09T00:26:00Z,150,RW27,RW17,EMRI1B,,R17,EMRIT Y99 AKVUG Y93 SMU
ANA806,B789,VTBS,RJAA,2026-07-09T00:27:00Z,370,RW20L,,LIPL1J,,,LIPLI Y16 BUTRA
AIQ3148,A320,VTBD,VTSE,2026-07-09T00:29:00Z,280,RW21L,RW24,SABI2B,,R24,SABIS Y8 MENEX W34 CPN
THA259,A320,VTBS,VTSS,2026-07-09T00:29:00Z,310,RW20L,RW26,KASN1E,OBLE1B,R26,KASNI M757 OBLEX
AIQ230,A21N,VTBD,RCTP,2026-07-09T00:31:00Z,330,RW21L,,UPKU3A,,,UPKUP Y16 BUTRA
FIN142,A359,VTBS,EFHK,2026-07-09T00:31:00Z,340,RW20L,,TARE1E,,,TARED P646 BETNO
BKP270,A319,VTSP,VTBS,2026-07-09T00:32:00Z,350,RW27,RW19,EMRI1B,LEBI1C,R19,EMRIT Y99 NONEL Y98 LEBIM
TVJ210,B38M,VTBS,VTUK,2026-07-09T00:32:00Z,330,RW20L,RW03,SELK1F,,R03,SELKA Y14 KRT Y23 KKN Y23/Y22
KMI713,B734,VTBS,VGHS,2026-07-09T00:33:00Z,320,RW20L,,TARE1E,,,TARED G463 BETNO
TLM550,B738,VTBD,VTPP,2026-07-09T00:33:00Z,220,RW21L,RW32,UGUV1B,,R32,UGUVO Y27 PIBAN
NOK539,B738,VTSP,VTBD,2026-07-09T00:34:00Z,370,RW27,RW21R,IGEV1B,SABA1B,R21R,IGEVI Y5 EGUBO Y99 HOTEL DCT SABAI
