================================================================
FLIGHT 1 of 12  -  THA100_VTCC_VTBS_2025-12-23 02:02
================================================================

ROUTE: PANTA Y7 BLAFF DCT NORTA
DEP: VTCC
DEST: VTBS
ACTYPE: B77W
FL: F360
ATD: 2025-12-23 02:02:50
SID: PANT2C
DEP RWY: RW36
ARR RWY: RW19
STAR: NORT1C
APPROACH: R19

---

Timestamp,UTC,Callsign,Lat,Lon,Altitude,Speed,Direction
1766455370,2025-12-23T02:02:50Z,THA100,18.753039,98.962850,1007,254,0
1766455390,2025-12-23T02:03:10Z,THA100,18.777438,98.962911,1745,256,0
1766455410,2025-12-23T02:03:30Z,THA100,18.802075,98.962972,2370,258,0
1766455430,2025-12-23T02:03:50Z,THA100,18.826919,98.963034,2954,261,0
1766455450,2025-12-23T02:04:10Z,THA100,18.851965,98.963096,3502,263,0
1766455470,2025-12-23T02:04:30Z,THA100,18.877207,98.963159,4053,265,0
1766455490,2025-12-23T02:04:50Z,THA100,18.902663,98.963223,4682,267,0
1766455510,2025-12-23T02:05:10Z,THA100,18.928351,98.963287,5311,270,0
1766455530,2025-12-23T02:05:30Z,THA100,18.954218,98.964033,5940,272,13
1766455550,2025-12-23T02:05:50Z,THA100,18.969300,98.984153,6632,275,88
1766455570,2025-12-23T02:06:10Z,THA100,18.969248,99.011940,7331,278,90
1766455590,2025-12-23T02:06:30Z,THA100,18.969171,99.040011,8027,280,90
1766455610,2025-12-23T02:06:50Z,THA100,18.968866,99.068344,8663,283,97
1766455631,2025-12-23T02:07:11Z,THA100,18.948860,99.086421,9335,286,180
1766455655,2025-12-23T02:07:35Z,THA100,18.916012,99.086315,10083,289,180
1766455675,2025-12-23T02:07:55Z,THA100,18.888229,99.086226,10648,292,180
1766455695,2025-12-23T02:08:15Z,THA100,18.860230,99.086135,11000,293,180
1766455715,2025-12-23T02:08:35Z,THA100,18.832185,99.086045,11000,293,180
1766455735,2025-12-23T02:08:55Z,THA100,18.804140,99.085955,11000,293,180
1766455755,2025-12-23T02:09:15Z,THA100,18.776095,99.085864,11000,293,180
1766455775,2025-12-23T02:09:35Z,THA100,18.748049,99.085774,11000,293,180
1766455795,2025-12-23T02:09:55Z,THA100,18.719483,99.085682,11259,306,180
1766455815,2025-12-23T02:10:15Z,THA100,18.690116,99.085587,11765,308,180
1766455835,2025-12-23T02:10:35Z,THA100,18.657187,99.085481,12332,388,180
1766455855,2025-12-23T02:10:55Z,THA100,18.619883,99.085364,12975,392,180
1766455875,2025-12-23T02:11:15Z,THA100,18.582211,99.085245,13624,396,180
