ICAO,Airport,RWY_NR,THR_elev_ft,THR_elev_m,THR_raw
VTBD,Bangkok/ Don Mueang International Airport,03L,7,2,THR 2 m /7
VTBD,Bangkok/ Don Mueang International Airport,21R,7,2,THR 2 m /7
VTBD,Bangkok/ Don Mueang International Airport,03R,5,1.49,THR 1.49 m /5
VTBD,Bangkok/ Don Mueang International Airport,21L,6.4,1.92,THR 1.92 m /6.4
VTBK,Nakhon Pathom/ Kamphaeng Saen,03,32,,THR 32 FT TDZ 32 FT
VTBK,Nakhon Pathom/ Kamphaeng Saen,21,32,,THR 32 FT TDZ 32 FT
VTBL,Lop Buri/ Khok Kathiam,16,103,,103 ft
VTBL,Lop Buri/ Khok Kathiam,34,133,,133 ft
VTBL,Lop Buri/ Khok Kathiam,05,106,,106 ft
VTBL,Lop Buri/ Khok Kathiam,23,125,,125 ft
VTBO,Trat/ Khao Sming,05,109,33,THR 109 ft (33 m)
VTBO,Trat/ Khao Sming,23,65,20,THR 65 ft (20 m)
VTBP,Prachuap Khiri Khan,08,10,3,THR 3 m/10 ft
VTBP,Prachuap Khiri Khan,26,10,3,THR 3 m/10 ft
VTBP,Prachuap Khiri Khan,18,10,3,THR 3 m/10 ft
VTBP,Prachuap Khiri Khan,36,10,3,THR 3 m/10 ft
VTBS,Bangkok/ Suvarnabhumi International Airport,02R,4.2,1.3,THR / TDZ 4.2 ft (1.3 m)
VTBS,Bangkok/ Suvarnabhumi International Airport,20L,4.0,1.2,THR / TDZ 4.0 ft (1.2 m)
VTBS,Bangkok/ Suvarnabhumi International Airport,01,3.7,1.1,THR/TDZ 3.7 ft (1.1 m)
VTBS,Bangkok/ Suvarnabhumi International Airport,19,3.7,1.1,THR /TDZ 3.7 ft (1.1 m)
VTBS,Bangkok/ Suvarnabhumi International Airport,02L,8,2,THR 8 ft (2 m)
VTBS,Bangkok/ Suvarnabhumi International Airport,20R,8,2,THR 8 ft (2 m)
VTBU,Rayong/ U-Tapao Rayong Pattaya International Airport,18,59.0,18.0,THR 59.0 ft (18.0 m)
VTBU,Rayong/ U-Tapao Rayong Pattaya International Airport,36,24,8,THR 24 ft (8 m)
VTBW,Sa Kaeo/ Watthana Nakhon,05,225,68,68 M / 225 FT
VTBW,Sa Kaeo/ Watthana Nakhon,23,217,66,66 M / 217 FT
VTCC,Chiang Mai/ Chiang Mai International Airport,18,1036,316,THR 316 m / 1036 ft
VTCC,Chiang Mai/ Chiang Mai International Airport,36,1006.9,306.9,THR 306.9 m / 1006.9 ft TDZ 307.5 m / 1008.9ft
VTCH,Mae Hong Son,11,865,,THR 865 FT TDZ 872 FT
VTCH,Mae Hong Son,29,929,,THR 929 FT TDZ 929 FT
VTCI,Mae Hong Son / Pai,01,,,NIL
VTCI,Mae Hong Son / Pai,19,,,NIL
VTCL,Lampang,18,792,,THR 792 ft
VTCL,Lampang,36,814,,THR 814 ft
VTCN,Nan/ Nan Nakhon,02,679,,THR 679 FT TDZ 681 FT
VTCN,Nan/ Nan Nakhon,20,682,,THR 682 FT TDZ 685 FT
VTCP,Phrae,01,540,,THR 540 FT
VTCP,Phrae,19,537,,THR 537 FT
VTCT,Chiang Rai/ Mae Fah Luang-Chiang Rai International Airport,03,1280,390.23,390.23 m (1280 ft AMSL)
VTCT,Chiang Rai/ Mae Fah Luang-Chiang Rai International Airport,21,1275,388.77,388.77 m (1275 ft AMSL)
VTPB,Phetchabun,18,450,,THR 450 FT TDZ 450 FT
VTPB,Phetchabun,36,449,,THR 449 FT TDZ 449 FT
VTPH,Prachuap Khiri Khan/ Hua Hin,16,62,,THR 62 FT TDZ 62 FT
VTPH,Prachuap Khiri Khan/ Hua Hin,34,17,,THR 17 FT TDZ 22 FT
VTPI,Nakhon Sawan/ Takhli,18,103,,103 FT
VTPI,Nakhon Sawan/ Takhli,36,65,,65 FT
VTPM,Tak/ Mae Sot,09,691,,THR 691 ft
VTPM,Tak/ Mae Sot,27,681,,THR 681 ft
VTPN,Nakhon Sawan,05,5.1,1.541,1.541 M
VTPN,Nakhon Sawan,23,-16.5,-5.044,- 5.044 M
VTPO,Sukhothai,18,184,56,184 ft (56 m)
VTPO,Sukhothai,36,183,56,183 ft (56 m)
VTPP,Phitsanulok,14,148,,THR 148 ft
VTPP,Phitsanulok,32,148,,THR 148 ft
VTPT,Tak,09,469,,THR 469 FT TDZ 473 FT
VTPT,Tak,27,478,,THR 478 FT TDZ 478 FT
VTSB,Surat Thani,04,20,,THR 20 ft
VTSB,Surat Thani,22,18,,THR 18 ft
VTSC,Narathiwat,02,23,,THR 23 FT
VTSC,Narathiwat,20,23,,THR 23 FT
VTSE,Chumphon/ Chumphon,06,22,,THR 22 FT
VTSE,Chumphon/ Chumphon,24,22,,THR 22 FT
VTSF,Nakhon Si Thammarat,01,13,,THR 13 ft TDZ 13 ft
VTSF,Nakhon Si Thammarat,19,13,,THR 13 ft TDZ 13 ft
