actype,version,isa_offset,phase,fl,tas,rocd_lo,rocd_nom,rocd_hi,fuel_lo,fuel_nom,fuel_hi
A20N,thaiapm-202607,15,climb,0,160.0,2562.0,2369.0,2175.0,,,
A20N,thaiapm-202607,15,descent,0,116.0,,416.0,,,,
A20N,thaiapm-202607,15,climb,5,161.0,2562.0,2369.0,2175.0,,,
A20N,thaiapm-202607,15,descent,5,128.0,,577.0,,,,
A20N,thaiapm-202607,15,climb,10,162.0,2562.0,2369.0,2175.0,,,
A20N,thaiapm-202607,15,descent,10,141.0,,738.0,,,,
A20N,thaiapm-202607,15,climb,15,164.0,2506.0,2297.0,2091.0,,,
A20N,thaiapm-202607,15,descent,15,152.0,,753.0,,,,
A20N,thaiapm-202607,15,climb,20,166.0,2450.0,2225.0,2008.0,,,
A20N,thaiapm-202607,15,descent,20,164.0,,769.0,,,,
A20N,thaiapm-202607,15,climb,30,169.0,2338.0,2081.0,1841.0,,,
A20N,thaiapm-202607,15,descent,30,187.0,,800.0,,,,
A20N,thaiapm-202607,15,climb,40,205.0,2353.0,1969.0,1720.0,,,
A20N,thaiapm-202607,15,descent,40,210.0,,952.0,,,,
A20N,thaiapm-202607,15,climb,60,258.0,2802.0,2369.0,2016.0,,,
A20N,thaiapm-202607,15,descent,60,248.0,,1161.0,,,,
A20N,thaiapm-202607,15,climb,80,279.0,3242.0,2897.0,2478.0,,,
A20N,thaiapm-202607,15,descent,80,273.0,,1312.0,,,,
A20N,thaiapm-202607,15,climb,100,290.0,3138.0,2719.0,2062.0,,,
A20N,thaiapm-202607,15,descent,100,290.0,,1359.0,,,,
A20N,thaiapm-202607,15,climb,120,308.0,2945.0,2525.0,1872.0,,,
A20N,thaiapm-202607,15,descent,120,311.0,,1503.0,,,,
A20N,thaiapm-202607,15,climb,140,330.0,2738.0,2400.0,2039.0,,,
A20N,thaiapm-202607,15,descent,140,336.0,,1775.0,,,,
A20N,thaiapm-202607,15,climb,160,348.0,2458.0,2128.0,1791.0,,,
A20N,thaiapm-202607,15,descent,160,352.0,,1903.0,,,,
A20N,thaiapm-202607,15,climb,180,362.0,2256.0,1967.0,1670.0,,,
A20N,thaiapm-202607,15,descent,180,364.0,,1984.0,,,,
A20N,thaiapm-202607,15,climb,200,375.0,2111.0,1872.0,1616.0,,,
A20N,thaiapm-202607,15,descent,200,376.0,,2042.0,,,,
A20N,thaiapm-202607,15,climb,220,386.0,1920.0,1695.0,1456.0,,,
A20N,thaiapm-202607,15,descent,220,389.0,,2105.0,,,,
A20N,thaiapm-202607,15,climb,240,398.0,1736.0,1519.0,1297.0,,,
A20N,thaiapm-202607,15,descent,240,402.0,,2159.0,,,,
A20N,thaiapm-202607,15,climb,260,410.0,1527.0,1328.0,1122.0,,,
A20N,thaiapm-202607,15,descent,260,414.0,,2191.0,,,,
A20N,thaiapm-202607,15,climb,280,422.0,1294.0,1122.0,944.0,,,
A20N,thaiapm-202607,15,descent,280,426.0,,2206.0,,,,
A20N,thaiapm-202607,15,climb,300,434.0,1200.0,1025.0,862.0,,,
A20N,thaiapm-202607,15,descent,300,437.0,,2206.0,,,,
A20N,thaiapm-202607,15,climb,320,444.0,1200.0,1009.0,831.0,,,
A20N,thaiapm-202607,15,descent,320,449.0,,2120.0,,,,
A20N,thaiapm-202607,15,cruise,320,453.0,,,,,,
A20N,thaiapm-202607,15,climb,340,440.0,1119.0,936.0,753.0,,,
A20N,thaiapm-202607,15,descent,340,445.0,,1817.0,,,,
A20N,thaiapm-202607,15,cruise,340,449.0,,,,,,
A20N,thaiapm-202607,15,climb,360,436.0,1009.0,839.0,672.0,,,
A20N,thaiapm-202607,15,descent,360,441.0,,1344.0,,,,
A20N,thaiapm-202607,15,cruise,360,445.0,,,,,,
A20N,thaiapm-202607,15,climb,380,436.0,897.0,719.0,544.0,,,
A20N,thaiapm-202607,15,descent,380,441.0,,1025.0,,,,
A20N,thaiapm-202607,15,cruise,380,445.0,,,,,,
A21N,thaiapm-202607,15,climb,0,173.0,2562.0,2384.0,2206.0,,,
A21N,thaiapm-202607,15,descent,0,120.0,,400.0,,,,
A21N,thaiapm-202607,15,climb,5,174.0,2562.0,2384.0,2206.0,,,
A21N,thaiapm-202607,15,descent,5,131.0,,569.0,,,,
A21N,thaiapm-202607,15,climb,10,176.0,2562.0,2384.0,2206.0,,,
A21N,thaiapm-202607,15,descent,10,142.0,,738.0,,,,
A21N,thaiapm-202607,15,climb,15,178.0,2495.0,2284.0,2062.0,,,
A21N,thaiapm-202607,15,descent,15,153.0,,757.0,,,,
A21N,thaiapm-202607,15,climb,20,180.0,2427.0,2183.0,1919.0,,,
A21N,thaiapm-202607,15,descent,20,164.0,,777.0,,,,
A21N,thaiapm-202607,15,climb,30,184.0,2291.0,1981.0,1631.0,,,
A21N,thaiapm-202607,15,descent,30,186.0,,816.0,,,,
A21N,thaiapm-202607,15,climb,40,220.0,2330.0,1934.0,1616.0,,,
A21N,thaiapm-202607,15,descent,40,201.0,,936.0,,,,
A21N,thaiapm-202607,15,climb,60,266.0,2672.0,2241.0,1872.0,,,
A21N,thaiapm-202607,15,descent,60,231.0,,1119.0,,,,
A21N,thaiapm-202607,15,climb,80,280.0,2944.0,2559.0,2167.0,,,
A21N,thaiapm-202607,15,descent,80,261.0,,1262.0,,,,
A21N,thaiapm-202607,15,climb,100,302.0,2640.0,2094.0,1670.0,,,
A21N,thaiapm-202607,15,descent,100,285.0,,1303.0,,,,
A21N,thaiapm-202607,15,climb,120,335.0,2448.0,1919.0,1519.0,,,
A21N,thaiapm-202607,15,descent,120,305.0,,1400.0,,,,
A21N,thaiapm-202607,15,climb,140,357.0,2448.0,2097.0,1806.0,,,
A21N,thaiapm-202607,15,descent,140,328.0,,1616.0,,,,
A21N,thaiapm-202607,15,climb,160,369.0,2272.0,1938.0,1647.0,,,
