ROUTE: NOBER W21 SURGU
DEP: VTBD
DEST: VTUD
ACTYPE: B738
DEP RWY: 
ARR RWY: 
SID: 
STAR: 
APPROACH: 
FL: F350.0
ATD: 2025-12-23 00:00:00
SURVEILLANCE: 5s

---

Timestamp,UTC,Callsign,Lat,Lon,Altitude,Speed,Direction,Phase,Sector,Event,Waypoint
1766448000,2025-12-23T00:00:00Z,RT1,13.914372,100.605692,9,250,3,climb,VTR1,,
1766448005,2025-12-23T00:00:05Z,RT1,13.922621,100.606069,147,250,3,climb,Bangkok CTR,,
1766448010,2025-12-23T00:00:10Z,RT1,13.930870,100.606446,285,251,3,climb,Bangkok CTR,,
1766448015,2025-12-23T00:00:15Z,RT1,13.939118,100.606823,423,252,3,climb,Bangkok CTR,,
1766448020,2025-12-23T00:00:20Z,RT1,13.947367,100.607200,577,252,3,climb,Bangkok CTR,,
1766448025,2025-12-23T00:00:25Z,RT1,13.955616,100.607578,751,253,3,climb,Bangkok CTR,,
1766448030,2025-12-23T00:00:30Z,RT1,13.963865,100.607955,925,253,3,climb,Bangkok CTR,,
1766448035,2025-12-23T00:00:35Z,RT1,13.972114,100.608332,1106,254,3,climb,Bangkok CTR,,
1766448040,2025-12-23T00:00:40Z,RT1,13.980362,100.608709,1293,255,3,climb,Bangkok CTR,,
1766448045,2025-12-23T00:00:45Z,RT1,13.988611,100.609087,1479,255,3,climb,Bangkok CTR,,
1766448050,2025-12-23T00:00:50Z,RT1,13.996860,100.609464,1655,256,3,climb,Bangkok CTR,,
1766448055,2025-12-23T00:00:55Z,RT1,14.005109,100.609841,1830,256,3,climb,Bangkok CTR,,
1766448060,2025-12-23T00:01:00Z,RT1,14.013357,100.610219,2004,257,3,climb,Bangkok CTR,,
1766448065,2025-12-23T00:01:05Z,RT1,14.021606,100.610596,2161,258,3,climb,Bangkok CTR,,
1766448070,2025-12-23T00:01:10Z,RT1,14.029855,100.610973,2318,258,3,climb,Bangkok CTR,,
1766448075,2025-12-23T00:01:15Z,RT1,14.038103,100.611351,2475,259,3,climb,Bangkok CTR,,
1766448080,2025-12-23T00:01:20Z,RT1,14.046352,100.611728,2632,260,3,climb,Bangkok CTR,,
1766448085,2025-12-23T00:01:25Z,RT1,14.054601,100.612106,2789,260,3,climb,Bangkok CTR,,
1766448090,2025-12-23T00:01:30Z,RT1,14.062850,100.612483,2946,261,3,climb,Bangkok CTR,,
1766448095,2025-12-23T00:01:35Z,RT1,14.071098,100.612861,3101,261,3,climb,Bangkok CTR,,
1766448100,2025-12-23T00:01:40Z,RT1,14.079347,100.613238,3256,262,3,climb,Bangkok CTR,,
1766448105,2025-12-23T00:01:45Z,RT1,14.087596,100.613616,3410,262,3,climb,Bangkok CTR,,
1766448110,2025-12-23T00:01:50Z,RT1,14.095844,100.613994,3564,263,3,climb,Bangkok CTR,,
1766448115,2025-12-23T00:01:55Z,RT1,14.104093,100.614371,3718,264,3,climb,Bangkok CTR,,
1766448120,2025-12-23T00:02:00Z,RT1,14.112342,100.614749,3873,264,3,climb,Bangkok CTR,,
1766448125,2025-12-23T00:02:05Z,RT1,14.120590,100.615127,4032,265,3,climb,Bangkok CTR,,
1766448130,2025-12-23T00:02:10Z,RT1,14.128839,100.615504,4213,265,3,climb,Bangkok CTR,,
1766448135,2025-12-23T00:02:15Z,RT1,14.137088,100.615882,4394,266,3,climb,Bangkok CTR,,
1766448140,2025-12-23T00:02:20Z,RT1,14.145336,100.616260,4574,267,3,climb,Bangkok CTR,,
1766448145,2025-12-23T00:02:25Z,RT1,14.153585,100.616638,4756,268,3,climb,Bangkok CTR,,
1766448150,2025-12-23T00:02:30Z,RT1,14.161834,100.617016,4936,268,3,climb,Bangkok CTR,,
1766448155,2025-12-23T00:02:35Z,RT1,14.170082,100.617393,5117,269,3,climb,Bangkok CTR,,
1766448160,2025-12-23T00:02:40Z,RT1,14.178331,100.617771,5298,270,3,climb,Bangkok CTR,,
1766448165,2025-12-23T00:02:45Z,RT1,14.186579,100.618149,5479,270,3,climb,Bangkok CTR,,
1766448170,2025-12-23T00:02:50Z,RT1,14.194828,100.618527,5660,271,3,climb,Bangkok CTR,,
1766448175,2025-12-23T00:02:55Z,RT1,14.203077,100.618905,5841,272,3,climb,Bangkok CTR,,
