fid,area_code,icao_code,airport_identifier,airport_identifier_3letter,airport_name,airport_ref_latitude,airport_ref_longitude,ifr_capability,longest_runway_surface_code,elevation,transition_altitude,transition_level,speed_limit,speed_limit_altitude,iata_ata_designator,id
15832,PAC,VT,VTBD,,DON MUEANG INTL,13.91437222,100.60569167,Y,H,9,11000,13000,250,10000,DMK,VTVTBD
15833,PAC,VT,VTBH,,SA PRAN NAK AERO,14.94833333,100.64166667,N,H,95,11000,13000,250,10000,,VTVTBH
15834,PAC,VT,VTBI,,PRACHIN BURI,14.07666667,101.38166667,N,H,80,11000,13000,250,10000,,VTVTBI
15835,PAC,VT,VTBK,,KAMPHAENG SAEN,14.10200833,99.91725833,Y,H,32,11000,13000,250,10000,KDT,VTVTBK
15836,PAC,VT,VTBL,,KHOK KATHIAM,14.87463889,100.66338889,Y,H,133,11000,13000,250,10000,KKM,VTVTBL
15837,PAC,VT,VTBO,,TRAT,12.27527778,102.32,Y,H,82,11000,13000,250,10000,TDX,VTVTBO
15838,PAC,VT,VTBP,,PRACHUAP KHIRI KHAN,11.78841667,99.804625,N,H,17,11000,13000,250,10000,,VTVTBP
15839,PAC,VT,VTBS,,SUVARNABHUMI INTL,13.68583333,100.74888889,Y,H,8,11000,13000,250,10000,BKK,VTVTBS
15840,PAC,VT,VTBT,,BANG PHRA,13.23333333,100.95833333,N,H,90,11000,13000,250,10000,,VTVTBT
15841,PAC,VT,VTBU,,U-TAPAO RAYONG PATTAYA INTL,12.67961111,101.00491667,Y,H,59,11000,13000,250,10000,UTP,VTVTBU
15842,PAC,VT,VTBW,,WATTHANA NAKHON,13.76875556,102.31554722,N,H,225,11000,13000,250,10000,,VTVTBW
15843,PAC,VT,VTCC,,CHIANG MAI INTL,18.77138889,98.96277778,Y,H,1036,11000,13000,250,10000,CNX,VTVTCC
15844,PAC,VT,VTCH,,MAE HONG SON,19.30171667,97.97505556,Y,H,929,11000,13000,250,10000,HGN,VTVTCH
15845,PAC,VT,VTCI,,PAI,19.37200833,98.43586389,N,H,1676,11000,13000,250,10000,PYY,VTVTCI
15846,PAC,VT,VTCL,,LAMPANG,18.27083333,99.50416667,Y,H,815,11000,13000,250,10000,LPT,VTVTCL
15847,PAC,VT,VTCN,,NAN NAKHON,18.80791389,100.78341944,Y,H,685,11000,13000,250,10000,NNT,VTVTCN
15848,PAC,VT,VTCP,,PHRAE,18.13222222,100.16472222,Y,H,540,11000,13000,250,10000,PRH,VTVTCP
15849,PAC,VT,VTCT,,CHIANG RAI INTL,19.95235,99.88295556,Y,H,1280,11000,13000,250,10000,CEI,VTVTCT
15850,PAC,VT,VTPB,,PHETCHABUN,16.67603056,101.19510833,Y,H,450,11000,13000,250,10000,PHY,VTVTPB
