fid,area_code,route_identifier,seqno,icao_code,waypoint_identifier,waypoint_latitude,waypoint_longitude,waypoint_description_code,route_type,flightlevel,direction_restriction,cruising_table_identifier,minimum_altitude1,minimum_altitude2,maximum_altitude,outbound_course,inbound_course,inbound_distance,id,waypoint_id,waypoint_id_2,waypoint_identifier_2,waypoint_latitude_2,waypoint_longitude_2
2991,PAC,Y8,3320,VT,VANKO,12.58640278,99.76043056,E C,R,B,F,XX,13000,0,46000,180,226,51,,tbl_enroute_waypoints|VTVANKO,tbl_enroute_waypoints|VTBUXEL,BUXEL,11.72832222,99.76120833
3002,PAC,Y8,3300,VT,BKK,13.89355556,100.59619444,V C,R,B,F,XX,13000,0,46000,197,0,44,,tbl_vhfnavaids|VTBKK,tbl_enroute_waypoints|VTMOTNA,MOTNA,13.18615,100.38491389
3003,PAC,Y8,3305,VT,MOTNA,13.18615,100.38491389,E C,R,B,F,XX,13000,0,46000,226,197,16,,tbl_enroute_waypoints|VTMOTNA,tbl_enroute_waypoints|VTSABIS,SABIS,12.99959167,100.19014722
3004,PAC,Y8,3310,VT,SABIS,12.99959167,100.19014722,T C,R,B,F,XX,13000,0,46000,226,226,35,,tbl_enroute_waypoints|VTSABIS,tbl_enroute_waypoints|VTVANKO,VANKO,12.58640278,99.76043056
3005,PAC,Y8,3330,VT,BUXEL,11.72832222,99.76120833,R C,R,B,F,XX,13000,0,46000,180,180,35,,tbl_enroute_waypoints|VTBUXEL,tbl_enroute_waypoints|VTMENEX,MENEX,11.14186111,99.76183333
3006,PAC,Y8,3340,VT,MENEX,11.14186111,99.76183333,E C,R,B,F,XX,8000,0,46000,198,180,101,,tbl_enroute_waypoints|VTMENEX,tbl_enroute_waypoints|VTIKERA,IKERA,9.52955278,99.25888889
3007,PAC,Y8,3350,VT,IKERA,9.52955278,99.25888889,E C,R,B,F,XX,8000,0,46000,198,198,25,,tbl_enroute_waypoints|VTIKERA,tbl_enroute_waypoints|VTSAPUD,SAPUD,9.12951111,99.13474722
3008,PAC,Y8,3355,VT,SAPUD,9.12951111,99.13474722,E C,R,B,None,XX,7000,0,46000,220,198,25,,tbl_enroute_waypoints|VTSAPUD,tbl_enroute_waypoints|VTLAMUL,LAMUL,8.80486667,98.86893333
3009,PAC,Y8,3360,VT,LAMUL,8.80486667,98.86893333,T C,R,B,None,XX,7000,0,46000,219,220,23,,tbl_enroute_waypoints|VTLAMUL,tbl_enroute_waypoints|VTSAVSA,SAVSA,8.50444444,98.62459167
3010,PAC,Y8,3370,VT,SAVSA,8.50444444,98.62459167,T C,R,B,None,XX,7000,0,46000,220,219,30,,tbl_enroute_waypoints|VTSAVSA,tbl_vhfnavaids|VTPUT,PUT,8.11397222,98.307
