fid,area_code,icao_code,airport_identifier,runway_identifier,runway_latitude,runway_longitude,runway_gradient,runway_magnetic_bearing,runway_true_bearing,landing_threshold_elevation,displaced_threshold_distance,threshold_crossing_height,runway_length,runway_width,llz_identifier,llz_mls_gls_category,surface_code,id
3128,PAC,VT,VTUZ,RW01,16.65028333,102.96310833,0.879,10,360,711,0,50,10007,148,None,None,,
3129,PAC,VT,VTUZ,RW19,16.65028333,102.96310833,-0.879,190,360,799,0,50,10007,148,None,None,,
3130,PAC,VT,VTUW,RW15,17.39304167,104.63623333,-0.39,145.9,144.982,587,0,50,8202,148,INKP,"1",,
3131,PAC,VT,VTUW,RW33,17.37454722,104.64981111,0.39,325.9,324.986,555,0,50,8202,148,None,None,,
3132,PAC,VT,VTUV,RW18,16.12625833,103.77422222,0,183.4,182.453,451,0,50,6890,148,None,None,,
3133,PAC,VT,VTUV,RW36,16.10726111,103.773375,0,3.4,2.453,451,0,50,6890,148,IROT,"1",,
3134,PAC,VT,VTUU,RW05,15.242825,104.85931389,-0.142,52.5,51.305,411,0,50,9843,148,None,None,,
3135,PAC,VT,VTUU,RW23,15.25971944,104.88117778,0.142,232.5,231.311,397,0,50,9843,148,IUBL,"1",,
3136,PAC,VT,VTUQ,RW06,14.94494167,102.30416944,-0.363,62,61.18,765,0,54,6890,148,INKR,"1",,
3137,PAC,VT,VTUQ,RW24,14.95405,102.32130556,0.363,242,241.185,740,0,50,6890,148,None,None,,
3138,PAC,VT,VTUO,RW04,15.22176944,103.24762778,-0.406,36,34.928,594,0,50,6890,148,None,None,,
3139,PAC,VT,VTUO,RW22,15.23729722,103.25886667,0.406,216,214.931,566,0,50,6890,148,None,None,,
3140,PAC,VT,VTUN,RW06,14.92823056,102.06621944,-0.437,63.3,62.085,729,0,50,9843,148,None,None,,
3141,PAC,VT,VTUN,RW24,14.94088889,102.09095,0.437,243.3,242.091,686,0,50,9843,148,IKRT,"1",,
3142,PAC,VT,VTUL,RW01,17.43003333,101.71919444,0.624,17.2,16.752,817,0,50,6890,148,None,None,,
3143,PAC,VT,VTUL,RW19,17.44823056,101.72493611,-0.624,197.2,196.754,860,0,50,6890,148,None,None,,
3144,PAC,VT,VTUK,RW03,16.45617222,102.77669167,0.7,34,32.664,604,492,50,10007,148,None,None,,
3145,PAC,VT,VTUK,RW21,16.477075,102.79066667,-0.7,214,212.668,674,492,50,10007,148,None,None,,
3146,PAC,VT,VTUJ,RW01,14.86145,103.49741389,-0.099,10,7.465,499,0,50,5039,115,None,None,,
3147,PAC,VT,VTUJ,RW19,14.87521944,103.49928056,0.099,190,187.465,494,0,50,5039,115,None,None,,
3148,PAC,VT,VTUI,RW05,17.18682222,104.10996944,-0.035,46.4,44.831,529,0,50,8530,148,None,None,,
3149,PAC,VT,VTUI,RW23,17.20345833,104.12728333,0.035,226.4,224.837,526,0,50,8530,148,ISKN,"1",,
3150,PAC,VT,VTUD,RW12,17.3927,102.77545833,0,118.5,117.165,579,0,50,10000,148,None,None,,
3151,PAC,VT,VTUD,RW30,17.38017222,102.80103611,0,298.5,297.173,579,0,55,10000,148,IUDN,"1",,
3152,PAC,VT,VTSY,RW07,5.78725833,101.14290833,-0.322,70,70.099,738,0,40,5906,98,None,None,,
