fid,route_identifier,area_code,seqno
1,A1,PAC,40
2,A10,CAN,1820
3,A100,EEU,5700
4,A102,EEU,5700
5,A103,EEU,5600
6,A103,EEU,5662
7,A103,EEU,5700
8,A103,EEU,5720
9,A107,EEU,5806
10,A114,EEU,5685
11,A117,EEU,5700
12,A118,EEU,5610
13,A120,EEU,5700
14,A122,EEU,5600
15,A125,EEU,5700
16,A14,EUR,6410
17,A145,EUR,6800
18,A16,MES,7000
19,A16,MES,7050
20,A17,MES,7100
21,A18,AFR,6280
22,A180,EEU,5630
23,A2,EUR,6350
24,A201,MES,7080
25,A202,PAC,3130
26,A203,MES,7100
27,A204,PAC,5480
28,A206,PAC,2980
29,A211,SPA,4110
30,A212,SPA,4200
31,A215,SPA,4110
32,A216,SPA,400
33,A220,SPA,150
34,A221,PAC,3220
35,A222,PAC,3110
36,A224,SPA,4110
37,A225,EEU,5700
38,A226,EEU,5700
39,A228,EEU,5700
40,A229,EEU,5770
41,A230,EEU,5700
42,A231,EEU,5700
43,A233,EEU,5700
44,A238,EEU,5640
45,A24,AFR,6420
46,A240,EEU,5820
47,A242,EUR,6230
48,A245,EEU,5700
49,A247,SAM,3550
50,A248,EEU,5605
51,A25,EUR,6195
52,A27,AFR,6100
53,A27,EUR,6220
54,A277,EEU,5730
55,A28,MES,7100
56,A285,MES,7310
57,A29,AFR,5420
58,A29,EUR,6090
59,A299,EEU,5640
60,A3,EUR,6070
61,A30,EUR,6100
62,A300,SAM,560
63,A300,EEU,5800
64,A301,LAM,2540
65,A302,EEU,5600
66,A303,EEU,5610
67,A304,SAM,3530
68,A305,SAM,3550
69,A305,EEU,5600
70,A306,SAM,3550
71,A306,EEU,5600
72,A406,AFR,5110
73,A307,SAM,3650
74,A307,EEU,5600
75,A308,EEU,5620
76,A309,SAM,3740
77,A309,EEU,5570
78,A31,AFR,6170
79,A310,SAM,3550
80,A310,EEU,5690
81,A311,SAM,3600
82,A311,EEU,5600
83,A312,LAM,510
84,A312,LAM,560
85,A314,SAM,3790
86,A315,USA,2510
87,A317,LAM,2680
88,A319,LAM,2550
89,A319,LAM,2650
90,A32,EUR,6300
91,A321,LAM,2670
92,A322,LAM,2600
93,A323,LAM,2830
94,A324,LAM,2900
95,A325,MES,7550
96,A326,EEU,5730
97,A331,PAC,3110
98,A332,PAC,3150
99,A333,EEU,5800
100,A334,PAC,200
101,A336,MES,7100
102,A337,PAC,310
103,A338,SPA,4110
104,J9,EEU,5300
105,A410,AFR,5110
106,A410,AFR,5180
107,A339,SPA,260
108,A34,EUR,320
109,A34,AFR,630
110,A341,SPA,3205
111,A343,EEU,5700
112,A344,SPA,4170
113,A345,EEU,5780
114,A346,SPA,4110
115,A347,MES,7190
116,A353,EEU,5700
117,A357,EEU,5800
118,A357,EEU,5870
119,A357,EEU,6015
120,A358,EEU,5700
121,A359,EEU,5790
122,A360,EEU,5600
123,A361,EUR,6200
124,A362,EEU,5700
125,A366,EEU,5720
126,A368,EEU,5570
127,A368,EEU,5690
128,A370,EEU,5790
129,A4,EEU,390
