type,designator,name,lower,upper,timesheet,activity_note,restriction,hazard,remarks
P,VTP4,MUANG KOM,GND SFC,240 STD,MON-FRI 00:00-24:00 UTC,,RTAF Flying Training,Bombing / Air Firing Area,Permission to entry : Only authorized aircraft
P,VTP7,SATTAHIP,GND SFC,UNL STD,ANY 00:00-24:00 UTC,,Naval Base,National security area,Permission to entry : Only authorized aircraft by RTN
P,VTP36,KHAO SOIDAO TAI,GND SFC,5000 MSL,ANY sunset-sunrise UTC,,RTN Area,Military operations,Permission to entry : Only authorized aircraft by RTN
P,VTP37,KHAO KHLONG OA,GND SFC,5000 MSL,ANY sunset-sunrise UTC,,RTN Area,Military operations,Permission to entry : Only authorized aircraft by RTN
P,VTP38,KO CHANG - KO KHUD,GND SFC,5000 MSL,ANY sunset-sunrise UTC,,RTN Area,Military operations,Permission to entry : Only authorized aircraft by RTN
R,VTR1,BANGKOK CITY,GND SFC,3000 MSL,ANY 00:00-24:00 UTC,,Congested Area,-,"Permission to entry : Only authorized aircraft by CAAT, except any aircraft operated under air traffic control services.
CAAT may issue further temporary condition for flight operation within VT R1 by NOTAM."
R,VTR2,CHITRLADA PALACE,GND SFC,6000 MSL,ANY 00:00-24:00 UTC,,Royal Residence Area,-,"Permission to entry : As specified condition:   
Authorized aircraft; or 
HOSP or MEDEVAC aircraft, prior coordination with ATC is required .  
Any occurrence of entry into restricted area shall be reported to CAAT."
R,VTR3,HUA HIN PALACE,GND SFC,UNL STD,,Notified by NOTAM,Royal Residence Area,-,"Permission to entry : As specified condition:   
Authorized aircraft; or 
HOSP or MEDEVAC aircraft, prior coordination with ATC is required .  
Any occurrence of entry into restricted area shall be reported to CAAT."
R,VTR5,PHU PHING PALACE,GND SFC,12000 MSL,,Notified by NOTAM,Royal Residence Area,-,"Permission to entry : As specified condition:   
Authorized aircraft; or 
HOSP or MEDEVAC aircraft, prior coordination with ATC is required .  
Any occurrence of entry into restricted area shall be reported to CAAT."
R,VTR6,THAK SIN PALACE,GND SFC,6000 MSL,,Notified by NOTAM,Royal Residence Area,-,"Permission to entry : As specified condition:   
Authorized aircraft; or 
HOSP or MEDEVAC aircraft, prior coordination with ATC is required .   
Any occurrence of entry into restricted area shall be reported to CAAT."
R,VTR8,KAMPHAENG SAEN JETTISON,GND SFC,7000 MSL,ANY 00:00-24:00 UTC,,RTAF Jettison Area,Jettison Area,Permission to entry : Only authorized aircraft
R,VTR11,"KO HIN CHALAM, SATTAHIP",GND SFC,UNL STD,ANY 00:00-24:00 UTC,,RTN Jettison Area / Ground and Air Gunnery Area,Military operations,Permission to entry : Only authorized aircraft by U-Tapao
R,VTR12,"KO LUAM, PRACHUAP KHIRI KHAN",GND SFC,9000 MSL,,Notified by NOTAM,RTN Jettison Area,Military operations,Permission to entry : Only authorized aircraft by RTN
R,VTR13,"KO SAMET, RAYONG",GND SFC,UNL STD,ANY 00:00-24:00 UTC,,RTN Jettison Area / Ground Gunnery Area,Military operations,Permission to entry : Only authorized aircraft by U-Tapao
R,VTR15,UBON,GND SFC,8000 MSL,ANY 00:00-24:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,Permission to entry : Only authorized aircraft by RTAF
R,VTR51,SONGKHLA,GND SFC,5000 MSL,ANY sunrise-sunset UTC,,RTAF Jettison Area,Jettison Area,Permission to entry : Only authorized aircraft by RTAF
R,VTR52,SONGKHLA,GND SFC,8000 MSL,ANY sunrise-sunset UTC,,RTAF Jettison Area,Jettison Area,Permission to entry : Only authorized aircraft by RTAF
R,VTR62,EASTERN AREA,GND SFC,13000 MSL,ANY sunset-sunrise UTC,,RTN Area,Military operations,Permission to entry : Only authorized aircraft by RTN
R,VTR66,PHU PHAN PALACE,GND SFC,6000 MSL,,Notified by NOTAM,Royal Residence Area,-,"Permission to entry : As specified condition:  
Authorized aircraft; or 
HOSP or MEDEVAC aircraft, prior coordination with ATC is required .  
Any occurrence of entry into restricted area shall be reported to CAAT."
R,VTR68,NAM PHONG,GND SFC,15000 MSL,MON-FRI 00:00-10:00 UTC,,RTAF Jettison Area,RTAF Jettison Area,Permission to entry : Only authorized aircraft by RTAF
R,VTR79,PHIMANMAS PALACE,GND SFC,6000 MSL,,Notified by NOTAM,Royal Residence Area,-,"Permission to entry : As specified condition:  
Authorized aircraft; or 
HOSP or MEDEVAC aircraft, prior coordination with ATC is required . 
Any occurrence of entry into restricted area shall be reported to CAAT."
R,VTR80,SRAPATHUM PALACE,GND SFC,6000 MSL,ANY 00:00-24:00 UTC,,Royal Residence Area,-,"Permission to entry : As specified condition:  
Authorized aircraft; or 
HOSP or MEDEVAC aircraft, prior coordination with ATC is required . 
Any occurrence of entry into restricted area shall be reported to CAAT."
R,VTR81,JAKRIBONGKOT PALACE,GND SFC,6000 MSL,ANY 00:00-24:00 UTC,,Royal Residence Area,-,"Permission to entry : As specified condition:  
Authorized aircraft; or 
HOSP or MEDEVAC aircraft, prior coordination with ATC is required . 
Any occurrence of entry into restricted area shall be reported to CAAT."
R,VTR82,AMPHORN ROYAL PALACE,GND SFC,6000 MSL,ANY 00:00-24:00 UTC,,Royal Residence Area,-,"Permission to entry : As specified condition:  
Authorized aircraft; or 
HOSP or MEDEVAC aircraft, prior coordination with ATC is required .  
Any occurrence of entry into restricted area shall be reported to CAAT."
R,VTR83,SUKHOTHAI PALACE,GND SFC,6000 MSL,ANY 00:00-24:00 UTC,,Royal Residence Area,-,"Permission to entry : As specified condition:  
Authorized aircraft; or 
HOSP or MEDEVAC aircraft, prior coordination with ATC is required . 
Any occurrence of entry into restricted area shall be reported to CAAT."
R,VTR84,TIPPIMARN PALACE,GND SFC,7500 MSL,ANY 00:00-24:00 UTC,,Royal Residence Area,-,"Permission to entry : As specified condition:  
Authorized aircraft; or 
HOSP or MEDEVAC aircraft, prior coordination with ATC is required . 
Any occurrence of entry into restricted area shall be reported to CAAT."
D,VTD2,LOP BURI,GND SFC,6000 MSL,MON-FRI 00:00-10:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,"AMC - Manageable Area
Planned activation time and level to be specified in AUP/UUP
or NOTAM.
Pilots are advised to contact prior to entering.
Tel. +662 534 6000 ext. 50520"
D,VTD3A,"KABIN BURI/WATTANA NAKHON, PRACHIN BURI",GND SFC,140 STD,MON-FRI 00:00-10:00 UTC,,RTAF Flying Training,High speed combat manoeuvring,"AMC - Manageable Area
Planned activation time and level to be specified in AUP/UUP
or NOTAM.
Pilots are advised to contact prior to entering.
Tel.+662 534 6000 ext. 42908, 42909"
